jam_order,jumlah_antrian,estimasi_menit,order_items,label
14.95,15,30,nasi_sfc,1
11.95,5,45,"nasi_soto_sapi,nasi_ayam_penyet,nasi_soto_ayam",1
20.35,14,20,"nasi_sfc,nasi_mie_geprek",1
18.8,2,45,"nasi_lele_penyet,nasi_mie_ayam_bakar,nasi_soto_ayam,kentang_goreng",1
15.85,11,30,"nasi_ayam_geprek,jeruk_es",1
20.68,19,20,nasi_soto_sapi,0
12.08,7,30,"nasi_ayam_geprek,tahu_tempe_goreng,nasi_mie_ayam_bakar,kerupuk_udang",1
14.23,6,30,"nasi_soto_ayam,es_teh_manis",0
17.88,2,20,"nasi_sfc,tahu_tempe_goreng,nasi_ayam_geprek",1
10.7,6,20,nasi_sfc,0
14.98,18,20,nasi_soto_babat,1
18.6,2,60,"kerupuk_udang,nasi_soto_babat,tahu_tempe_goreng",1
18.53,18,20,"kentang_goreng,jeruk_es,nasi_mie_ayam_bakar,tahu_tempe_goreng",1
15.12,15,20,"nasi_sfc,es_teh_manis",1
12.87,19,20,"es_teh_manis,nasi_sfc,nasi_soto_sapi,nasi_soto_babat",1
11.98,2,20,"nasgor_kebuli_ayam,kerupuk_udang",1
15.72,6,45,"nasi_lele_penyet,nasgor_kebuli_ayam",0
15.72,1,60,"kerupuk_udang,nasi_lele_penyet",0
10.07,15,30,nasi_ayam_penyet,1
13.63,10,20,nasgor_kebuli_sapi,1
12.05,19,45,"kentang_goreng,nasi_soto_babat,nasi_mie_ayam_bakar,nasi_mie_geprek",1
9.08,17,45,nasi_lele_penyet,1
15.73,5,45,nasi_mie_geprek,0
19.52,4,30,nasgor_kebuli_sapi,0
21.85,10,20,jeruk_es,0
13.48,17,60,jeruk_es,1
9.77,10,60,"nasi_soto_sapi,nasi_lele_penyet",1
19.57,17,45,nasi_soto_ayam,1
12.9,5,30,"tahu_tempe_goreng,nasgor_kebuli_sapi,es_teh_manis,nasgor_kebuli_ayam",0
8.65,2,30,"es_teh_manis,kentang_goreng",0
19.85,6,30,"nasi_mie_geprek,kentang_goreng",0
17.25,2,60,"nasi_mie_geprek,tahu_tempe_goreng,nasgor_kebuli_ayam",1
13.2,13,45,es_teh_manis,1
20.82,11,20,"nasi_soto_babat,nasi_ayam_penyet",1
19.98,11,60,nasi_soto_sapi,1
16.68,16,45,"kentang_goreng,jeruk_es",1
8.48,11,45,"nasi_soto_babat,tahu_tempe_goreng",1
18.3,19,20,"kentang_goreng,nasi_soto_ayam,nasi_lele_penyet,jeruk_es",1
18.27,15,20,"nasi_soto_ayam,kentang_goreng,nasi_sfc",1
17.92,16,20,"nasi_ayam_penyet,nasgor_kebuli_ayam,nasi_mie_geprek",1
19.3,11,30,"kerupuk_udang,tahu_tempe_goreng",1
19.45,16,20,"es_teh_manis,jeruk_es",0
21.95,8,45,nasi_lele_penyet,1
21.9,4,20,"kentang_goreng,nasi_soto_ayam",0
21.42,8,45,"nasgor_kebuli_sapi,nasi_soto_babat",1
10.6,4,60,"es_teh_manis,nasi_sfc",0
19.42,3,30,tahu_tempe_goreng,0
14.87,3,60,"nasgor_kebuli_sapi,kerupuk_udang",0
11.37,18,60,"nasi_ayam_penyet,nasi_soto_ayam",1
16.13,19,45,nasi_mie_geprek,1
10.18,19,60,"nasgor_kebuli_sapi,jeruk_es",1
12.87,5,45,"nasi_mie_ayam_bakar,nasi_mie_geprek,nasgor_kebuli_ayam",1
10.0,18,20,jeruk_es,1
14.95,10,20,"kentang_goreng,nasi_soto_ayam",1
12.95,6,45,"nasi_ayam_penyet,nasi_mie_geprek,nasi_lele_penyet",1
16.0,1,20,"jeruk_es,nasi_soto_ayam",0
14.77,5,30,nasi_mie_ayam_bakar,0
9.55,9,60,nasgor_kebuli_ayam,1
11.52,12,30,"nasi_mie_ayam_bakar,nasi_soto_babat,tahu_tempe_goreng",1
16.88,14,60,tahu_tempe_goreng,1
19.78,2,20,"jeruk_es,nasi_lele_penyet",0
21.4,17,30,"nasi_sfc,nasi_lele_penyet",1
9.65,14,20,kerupuk_udang,1
17.73,13,60,"tahu_tempe_goreng,nasi_soto_ayam,nasi_lele_penyet,nasgor_kebuli_sapi",1
16.87,9,45,nasi_soto_sapi,1
17.0,15,45,"nasi_soto_babat,nasi_lele_penyet",1
12.25,15,30,"nasi_ayam_geprek,nasi_mie_geprek,nasi_soto_sapi,nasgor_kebuli_sapi",1
9.63,11,20,jeruk_es,1
11.07,16,20,"nasgor_kebuli_sapi,jeruk_es,nasi_mie_ayam_bakar",1
19.35,17,30,"tahu_tempe_goreng,kerupuk_udang",1
19.47,4,45,"nasi_sfc,kentang_goreng",1
14.9,1,60,"nasi_sfc,nasi_ayam_geprek",1
19.03,8,30,nasgor_kebuli_ayam,0
20.18,17,60,"es_teh_manis,nasi_soto_sapi",1
15.42,3,45,nasi_ayam_penyet,0
10.25,15,20,nasi_ayam_geprek,1
21.83,15,45,"nasi_lele_penyet,nasgor_kebuli_sapi",1
8.6,14,30,"nasi_soto_sapi,nasgor_kebuli_sapi",1
11.35,14,20,"es_teh_manis,nasi_soto_sapi",1
9.93,2,30,"nasi_ayam_penyet,nasi_sfc",0
15.47,13,30,nasi_sfc,1
11.22,14,45,"tahu_tempe_goreng,nasi_mie_geprek",1
9.45,19,30,"kerupuk_udang,nasi_mie_ayam_bakar",0
21.07,7,45,"kerupuk_udang,jeruk_es",1
13.77,3,20,"nasi_soto_babat,nasi_soto_sapi",0
13.8,15,45,nasi_lele_penyet,1
17.48,14,20,"tahu_tempe_goreng,nasgor_kebuli_ayam,kerupuk_udang,nasi_ayam_penyet",1
11.75,11,45,"nasgor_kebuli_sapi,nasi_lele_penyet,es_teh_manis,kerupuk_udang",1
13.85,15,60,es_teh_manis,1
20.07,13,60,"nasi_soto_ayam,tahu_tempe_goreng",1
9.18,18,30,jeruk_es,0
17.25,6,45,"jeruk_es,nasi_ayam_geprek,nasi_soto_ayam,nasi_sfc",1
19.42,3,45,"es_teh_manis,nasi_lele_penyet",0
9.42,19,20,"nasi_soto_sapi,nasi_sfc",1
17.78,15,30,"nasi_soto_babat,nasi_soto_sapi,nasi_ayam_geprek,kentang_goreng",1
21.33,5,45,kerupuk_udang,0
11.63,10,30,"nasi_soto_ayam,nasi_ayam_geprek",1
21.58,7,60,"nasi_soto_ayam,tahu_tempe_goreng",0
15.53,17,45,nasi_ayam_penyet,1
21.48,7,45,nasi_soto_ayam,0
14.6,12,30,"nasi_soto_ayam,jeruk_es",0
19.37,17,45,nasi_ayam_penyet,1
16.95,13,30,nasi_soto_ayam,0
21.15,4,45,nasgor_kebuli_ayam,1
15.88,10,20,"nasi_ayam_geprek,kentang_goreng",1
12.07,3,30,"nasi_soto_babat,tahu_tempe_goreng,nasi_lele_penyet",1
20.58,9,45,nasi_ayam_geprek,1
9.55,13,60,nasgor_kebuli_ayam,1
12.85,18,45,"es_teh_manis,nasgor_kebuli_ayam,nasi_ayam_penyet,nasi_soto_ayam",1
15.5,15,60,nasgor_kebuli_ayam,1
17.15,4,60,"nasi_lele_penyet,kentang_goreng,nasi_sfc,nasi_soto_babat",1
16.95,15,20,"es_teh_manis,nasgor_kebuli_sapi",1
19.3,2,30,"nasgor_kebuli_sapi,jeruk_es",0
19.95,15,45,"es_teh_manis,nasi_mie_ayam_bakar",1
19.52,8,20,jeruk_es,0
20.0,8,45,nasi_ayam_geprek,1
16.92,17,60,nasi_soto_ayam,1
20.07,12,30,jeruk_es,1
